query,results
"a goofy movie but i mean goofy like silly not the title, 90s vibe, witty dialogue, not slow","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching by tone ('silly', 'goofy'), vibe ('90s vibe'), dialogue style ('witty'), and pacing ('not slow') — none of these describe what literally happens in the plot.""},""plot_analysis_data"":{""relevance"":""medium"",""justification"":""The user is searching for a specific tone ('silly,' 'witty dialogue') and genre vibe ('90s comedy'), which relates to genre labels and story type in plot_analysis, though '90s vibe' and 'not slow' also involve production era and pacing preferences outside this vector's scope.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The user explicitly searches by experiential qualities throughout: 'goofy/silly' (tone), '90s vibe' (aesthetic experience), 'witty' (dialogue feel), and 'not slow' (pacing), with no plot or production details mentioned.""},""watch_context_data"":{""relevance"":""large"",""justification"":""The user explicitly searches by motivation (want something silly/funny), era vibe as a feature draw (90s feel), and specific feature (witty dialogue), all directly matching the vector's contents about reasons-to-choose and watch scenarios.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by tone (silly/goofy), era (90s), dialogue style (witty), and pacing preference (not slow) — none of which relate to narrative structure, POV, time structure, or storytelling craft.""},""production_data"":{""relevance"":""small"",""justification"":""The '90s vibe' is ambiguous—it could mean production decade (relevant) or aesthetic feel (not relevant)—and while the user likely means aesthetic, there's a small chance they want actual 90s films; all other elements (silly tone, witty dialogue, pacing) relate to plot_events or viewer_experience, not production.""},""reception_data"":{""relevance"":""medium"",""justification"":""The query contains evaluative language about qualities people discuss in reviews ('witty dialogue', 'not slow' addressing pacing criticism), but primarily focuses on experiential and tonal descriptors rather than explicit reception framing like acclaim or awards.""}}"
"YA fantasy with a chosen one prophecy, not too dark, PG-13","{""plot_events_data"":{""relevance"":""small"",""justification"":""The query contains one plot element ('chosen one prophecy') but is dominated by genre labels ('YA fantasy'), tone/vibe descriptors ('not too dark'), and production rating ('PG-13'), making plot a minor component of the search intent.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""The user explicitly searches by genre (YA fantasy), story type (chosen one prophecy), and thematic tone (not too dark, PG-13), all of which directly map to this vector's genre labels, story shapes, and conceptual content.""},""viewer_experience_data"":{""relevance"":""medium"",""justification"":""The query includes explicit experiential negation 'not too dark' which directly addresses disturbance level/viewer experience, though the rest of the query focuses on genre, plot mechanics, and rating classification.""},""watch_context_data"":{""relevance"":""small"",""justification"":""The query includes 'PG-13' which touches on audience-appropriateness, a minor element of this vector, but primarily searches by genre, theme, and plot elements (YA fantasy, chosen one prophecy, tone) which are not covered by watch context.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by genre (YA fantasy), plot element (chosen one prophecy), tone (not too dark), and rating (PG-13) — none of which relate to narrative technique or storytelling structure.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The query focuses on genre (YA fantasy), plot elements (chosen one prophecy), tone (not too dark), and rating (PG-13) — none of which relate to production metadata like how, when, where, or by whom the movie was made.""},""reception_data"":{""relevance"":""small"",""justification"":""The query contains 'not too dark' which is mild evaluative language about tone that could appear in reviews, but the primary search criteria are genre (YA fantasy), plot element (chosen one prophecy), and rating (PG-13) — none of which involve how the movie was received or evaluated.""}}"
"set in Boston during a blizzard, but filmed in Toronto","{""plot_events_data"":{""relevance"":""large"",""justification"":""The user explicitly specifies a story setting ('set in Boston during a blizzard'), which directly matches this vector's contents; the filming location is production metadata that doesn't diminish the strong plot-based search intent.""},""plot_analysis_data"":{""relevance"":""not_relevant"",""justification"":""This query searches by production location facts (filmed in Toronto) and setting details (Boston, blizzard), with no mention of genre, theme, story type, or what the movie means.""},""viewer_experience_data"":{""relevance"":""not_relevant"",""justification"":""The query only describes production facts (setting, filming location) with zero experiential language about how the movie feels to watch.""},""watch_context_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by setting/location (Boston, blizzard) and production fact (filmed in Toronto), with no mention of why/when to watch, motivations, scenarios, feature draws, or audience fit.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by setting (Boston, blizzard) and production location (Toronto filmed), with no mention of narrative technique, structure, or storytelling craft.""},""production_data"":{""relevance"":""large"",""justification"":""The user explicitly specifies 'filmed in Toronto,' which directly queries the production metadata about filming location, even though the story setting ('set in Boston during a blizzard') belongs to plot_events.""},""reception_data"":{""relevance"":""not_relevant"",""justification"":""The query focuses on production facts (setting location and filming location) with no evaluative language, critical reception, awards, or discussion of how the movie was received.""}}"
something on Netflix under 90 minutes,"{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""The query specifies streaming platform availability and runtime duration, both of which are production/distribution facts with no mention of plot events, story settings, or character situations.""},""plot_analysis_data"":{""relevance"":""not_relevant"",""justification"":""The query specifies only streaming platform (Netflix) and runtime constraint (under 90 minutes), with no reference to genre, theme, story type, or meaning.""},""viewer_experience_data"":{""relevance"":""not_relevant"",""justification"":""The query only specifies streaming platform (Netflix) and runtime constraint (under 90 minutes) — no experiential language about how the movie feels to watch.""},""watch_context_data"":{""relevance"":""small"",""justification"":""The query specifies a streaming platform and runtime constraint, which are practical selection filters rather than motivations, scenarios, or feature draws; however, runtime constraints often correlate with 'background viewing' or 'quick unwind' scenarios, making this weakly adjacent to watch context.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by streaming platform and runtime duration, with no mention of narrative techniques, structure, or storytelling methods.""},""production_data"":{""relevance"":""large"",""justification"":""User explicitly names Netflix (studio/platform) and specifies runtime constraint, both of which are pre-release production/distribution facts about how the movie was made and released.""},""reception_data"":{""relevance"":""not_relevant"",""justification"":""The query searches purely by platform (Netflix) and runtime constraint (under 90 minutes), with no evaluative language, acclaim, awards, or reception-based criteria.""}}"
"critics hated it but I love it anyway, fun guilty pleasure","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""This query searches by critical reception and personal emotional response (guilty pleasure, fun), with no reference to plot events, settings, or character situations.""},""plot_analysis_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching based on critical reception contrast and personal viewing experience ('guilty pleasure'), with no reference to genre, theme, or story type.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The user explicitly searches for a 'fun guilty pleasure' — this is pure experiential language about emotional enjoyment and the specific pleasure of watching something critically dismissed, directly matching the viewer experience vector's focus on tone, emotional palette, and subjective watching experience.""},""watch_context_data"":{""relevance"":""large"",""justification"":""The user explicitly describes a motivation for watching (seeking a 'guilty pleasure' experience) and a scenario/feature draw ('fun' as a reason to choose despite critical reception), which directly aligns with the vector's focus on why/when someone chooses to watch a movie.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching by reception/critical consensus and emotional experience ('fun', 'guilty pleasure'), with no mention of narrative structure, POV, time structure, or storytelling techniques.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""This query focuses entirely on reception (critics hated it) and viewer experience (guilty pleasure, fun), with no mention of how, when, where, or by whom the movie was made.""},""reception_data"":{""relevance"":""large"",""justification"":""The user explicitly references critical reception ('critics hated it'), evaluative framing ('guilty pleasure'), and the contrast between professional and personal evaluation, all directly mapping to how movies are received and discussed.""}}"
"Oscar-winning cinematography, but the story is messy","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""The query focuses entirely on production quality (cinematography awards) and vague negative sentiment about story coherence, with no specific plot events, settings, or character situations being searched for.""},""plot_analysis_data"":{""relevance"":""not_relevant"",""justification"":""The query focuses on production quality (cinematography awards) and a negative structural critique (messy story), with no reference to genre, theme, story type, or what the movie means.""},""viewer_experience_data"":{""relevance"":""not_relevant"",""justification"":""The query describes production facts ('Oscar-winning cinematography') and plot quality ('story is messy') without any experiential language about how the movie feels to watch.""},""watch_context_data"":{""relevance"":""large"",""justification"":""The user explicitly cites 'Oscar-winning cinematography' as a feature draw — a reason to choose or value a movie — which directly aligns with this vector's contents about features-as-reasons-to-watch like 'gorgeous cinematography.'""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by production award (Oscar-winning cinematography) and experiential quality ('messy' story), with no mention of narrative structure, POV, time structure, or storytelling technique.""},""production_data"":{""relevance"":""small"",""justification"":""While 'Oscar-winning' refers to reception rather than production, cinematography is a production element (how the film was shot), making this weakly relevant to production metadata.""},""reception_data"":{""relevance"":""large"",""justification"":""The query explicitly references an award ('Oscar-winning') and provides direct evaluative commentary on both praised qualities (cinematography) and criticized flaws (messy story), which are core reception elements.""}}"
"real-time thriller in one apartment, ticking clock deadline, no flashbacks","{""plot_events_data"":{""relevance"":""large"",""justification"":""User explicitly describes concrete plot mechanics (single location, real-time structure, ticking clock deadline) and narrative constraints (no flashbacks), all of which are literal story elements found in plot summaries.""},""plot_analysis_data"":{""relevance"":""medium"",""justification"":""The query specifies 'thriller' (genre) and 'ticking clock deadline' (thematic/story structure), which align with plot analysis content, but 'real-time', 'one apartment', and 'no flashbacks' are production/structural constraints rather than thematic or conceptual elements.""},""viewer_experience_data"":{""relevance"":""small"",""justification"":""The query describes plot structure and technique (real-time, single location, ticking clock, no flashbacks) rather than experiential language, though 'thriller' implies some tension/pacing feel that could weakly map to viewer experience.""},""watch_context_data"":{""relevance"":""not_relevant"",""justification"":""The query describes plot structure, setting, and narrative technique (real-time, single location, ticking clock, no flashbacks) without any reference to why or when to watch, motivations, scenarios, feature draws, or audience fit.""},""narrative_techniques_data"":{""relevance"":""large"",""justification"":""User explicitly requests multiple narrative techniques: real-time structure, single-location constraint, ticking clock device, and absence of flashbacks.""},""production_data"":{""relevance"":""small"",""justification"":""The query focuses primarily on plot structure and narrative technique (real-time, single location, no flashbacks) rather than production facts like filming location, budget, or crew; 'no flashbacks' touches on editing approach which is a minor production element.""},""reception_data"":{""relevance"":""not_relevant"",""justification"":""The query describes plot structure and narrative technique (real-time, single location, ticking clock, no flashbacks) without any evaluative language, acclaim, awards, or reception-based framing.""}}"
"found footage horror, no jump scares, creepy dread","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""The query specifies a genre label ('found footage horror'), a technique absence ('no jump scares'), and a vibe/feeling ('creepy dread') — none of these describe literal plot events, settings, or character situations.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""User explicitly specifies a subgenre (found footage horror) and desired emotional/thematic tone (creepy dread without jump scares), which directly maps to genre labels and experiential themes in plot analysis.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The query explicitly uses experiential language throughout: 'no jump scares' is a direct negation of a sensory experience, 'creepy dread' describes emotional tone and disturbance level, and even 'found footage horror' is modified by experiential constraints rather than being a pure genre search.""},""watch_context_data"":{""relevance"":""medium"",""justification"":""The user is searching by technique (found footage) and absence of technique (no jump scares), but 'creepy dread' describes a desired emotional experience/motivation for watching, which aligns with the vector's focus on why someone would choose this movie.""},""narrative_techniques_data"":{""relevance"":""large"",""justification"":""User explicitly searches by 'found footage' — a narrative framing technique — making this the primary intent; 'no jump scares' and 'creepy dread' are experiential modifiers but don't override the core technique search.""},""production_data"":{""relevance"":""medium"",""justification"":""The user explicitly names 'found footage' which is a production format/medium choice, though the rest of the query focuses on technique and viewer experience (no jump scares, creepy dread).""},""reception_data"":{""relevance"":""small"",""justification"":""The evaluative framing 'no jump scares' and 'creepy dread' suggests how viewers describe experiencing and reviewing these films, but the primary intent is genre/format search with experiential qualities rather than critical reception or acclaim.""}}"
"movies with Jack Sparrow energy but not Pirates, witty swashbuckling","{""plot_events_data"":{""relevance"":""small"",""justification"":""The query focuses on character energy/vibe ('witty swashbuckling') and explicitly excludes the source material, indicating the user wants similar tone/experience rather than specific plot events; 'swashbuckling' implies adventure action but without concrete plot details.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""User explicitly wants a specific story type (witty swashbuckling) and character archetype (charming rogue), which directly maps to genre labels and thematic content in plot analysis.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The user explicitly searches by experiential language: \""Jack Sparrow energy\"" (vibe/archetype feel), \""witty\"" (tone), and \""swashbuckling\"" (action style with implied adventurous, freewheeling feel), all directly describing how they want the movie to feel rather than plot mechanics or production facts.""},""watch_context_data"":{""relevance"":""medium"",""justification"":""The query seeks a specific tone/energy ('witty swashbuckling') which relates to motivation (want fun, adventure, humor) and feature draw (witty dialogue, charismatic lead), though it's primarily character-based and genre-driven.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""User searches by character archetype/personality ('Jack Sparrow energy') and genre elements ('swashbuckling'), not by narrative structure or storytelling technique.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The query references 'Jack Sparrow energy' and 'witty swashbuckling' — these are aesthetic/vibe descriptors and genre tones, not production facts like cast, crew, filming location, or medium; 'not Pirates' excludes a specific franchise but doesn't invoke production metadata.""},""reception_data"":{""relevance"":""medium"",""justification"":""The query uses evaluative language ('witty') and references a specific character archetype that implies how the movie is received/discussed ('Jack Sparrow energy'), suggesting the user is thinking about praised qualities and tone that reviewers would mention, though the core search is for genre/style matching.""}}"
"background while coding, dialogue not important, chill visuals, low volume","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""User is searching by viewing experience (chill, background, low volume, visuals over dialogue) with no mention of plot events, settings, or story content.""},""plot_analysis_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching purely by viewing context and technical logistics (background use, audio levels, visual style), with no reference to genre, theme, story type, or what the movie means.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""User explicitly describes desired experiential qualities: 'chill visuals' (aesthetic vibe), 'low volume' (sensory intensity), 'dialogue not important' (cognitive load/pacing), and 'background while coding' (viewing context that implies relaxed, undemanding experience) — all directly mapping to viewer experience descriptors.""},""watch_context_data"":{""relevance"":""large"",""justification"":""User explicitly specifies a scenario (background while coding), motivation (chill, low volume), and feature draws (visuals over dialogue), all directly matching the vector's watch context content.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""User is searching by experiential and practical criteria (background viewing, audio volume, visual mood) with no mention of narrative structure, POV, time technique, or storytelling craft.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching by viewing context (background use), audio preferences (low volume, dialogue unimportant), and aesthetic quality (chill visuals) — all viewer experience criteria with no mention of production facts like decade, origin, format, or crew.""},""reception_data"":{""relevance"":""small"",""justification"":""The query contains minor evaluative framing ('chill visuals' could appear in reviews describing praised aesthetic qualities), but primarily focuses on watch context and viewer experience rather than how the movie was received or critically evaluated.""}}"
"ultra-gory body horror, disgusting, make me squirm","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching by visceral viewer experience and emotional reaction ('make me squirm', 'disgusting'), not by specific plot events, settings, or character situations; body horror describes genre and effect rather than concrete story content.""},""plot_analysis_data"":{""relevance"":""small"",""justification"":""The query references 'body horror' which is a genre label this vector contains, but the user's primary intent is visceral experience ('make me squirm', 'disgusting') rather than thematic or conceptual story content.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""User explicitly searches by visceral experiential descriptors — 'ultra-gory', 'disgusting', and 'make me squirm' directly describe how they want the movie to feel to watch, with strong alignment to the vector's disturbance level and sensory intensity categories.""},""watch_context_data"":{""relevance"":""large"",""justification"":""The user explicitly states a motivation ('make me squirm') and seeks visceral features ('ultra-gory', 'disgusting') as reasons to choose a movie, directly aligning with this vector's focus on watch motivations and feature draws.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching by experiential and genre content (gore, body horror, emotional reaction of disgust) rather than any narrative technique, structural choice, or storytelling method.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The query describes desired viewer experience (gore intensity, physical discomfort) without mentioning any production facts like effects approach, budget, director, or filming techniques.""},""reception_data"":{""relevance"":""small"",""justification"":""While the query describes visceral reactions, these are framed as desired viewer experience ('make me squirm') rather than how movies are critically received or discussed; however, 'disgusting' and 'ultra-gory' are terms that appear in reviews evaluating such films, creating minor reception overlap.""}}"
"family movie night with kids, not babyish, jokes for adults too","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""User is searching by target audience (family, kids) and desired experience (not babyish, jokes for adults), with no mention of plot events, settings, or character situations.""},""plot_analysis_data"":{""relevance"":""small"",""justification"":""The query focuses on viewing context (family movie night) and audience experience (jokes for adults, not babyish), with only a minor implied thematic element of 'family-friendly' content that loosely overlaps with genre-adjacent territory.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The query explicitly uses experiential descriptors ('not babyish') and tone specifications ('jokes for adults too') to define how the movie should feel to watch for a mixed-age audience, directly targeting the viewer experience vector.""},""watch_context_data"":{""relevance"":""large"",""justification"":""The query explicitly specifies a scenario ('family movie night with kids'), audience fit ('not babyish'), and multi-generational appeal ('jokes for adults too'), all directly matching the vector's watch context content.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""User is searching by audience experience and target demographic (family-friendly, multi-generational appeal), not by any narrative technique or structural storytelling method.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The query describes target audience (family, kids, adults) and desired tone (not babyish, adult jokes), which are viewer_experience and audience_alignment factors, not production metadata like cast, crew, format, or origin.""},""reception_data"":{""relevance"":""medium"",""justification"":""The phrase 'jokes for adults too' is evaluative language that appears in reviews when parents discuss how family movies are received, though the primary intent is watch_context (family viewing situation).""}}"
"directed by Quinten Tarantino, snappy dialogue, violent but funny","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""This query searches by director (production), dialogue style (screenwriting technique/viewer experience), and tone (viewer experience) — none of these describe what literally happens in the plot.""},""plot_analysis_data"":{""relevance"":""small"",""justification"":""The query is primarily about production facts (director) and stylistic experience (snappy dialogue, tone), but 'violent but funny' loosely hints at dark comedy as a genre/story type which marginally touches plot analysis content.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""The user explicitly searches by experiential qualities: 'snappy dialogue' (pacing/tonal feel), 'violent but funny' (emotional tone and disturbance level with tonal contrast), and Tarantino as a reference point for a specific viewing experience rather than just production fact.""},""watch_context_data"":{""relevance"":""medium"",""justification"":""The user explicitly searches for 'snappy dialogue' as a feature draw (reason to choose), which aligns with the vector's contents; 'violent but funny' also suggests motivation/desired viewing experience, though 'directed by Quentin Tarantino' is pure production fact that doesn't relate to watch context.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by director (production), dialogue style (screenwriting), and tone/experience (violent but funny) — none of these are narrative structural techniques about HOW the story is told.""},""production_data"":{""relevance"":""large"",""justification"":""The user explicitly names 'directed by Quinten Tarantino,' which is a direct production fact (cast/crew), making production highly relevant despite the presence of content descriptors (dialogue, tone).""},""reception_data"":{""relevance"":""medium"",""justification"":""The query includes evaluative descriptors ('snappy dialogue', 'violent but funny') that reflect how Tarantino's films are reviewed and discussed, though the primary search mechanism is director attribution.""}}"
Her but not the one with Joaquin Phoenix,"{""plot_events_data"":{""relevance"":""small"",""justification"":""The user is using a reference movie ('Her') to find similar films, but the negative constraint ('not the one with Joaquin Phoenix') suggests they're clarifying identity rather than seeking similar plot content; this is primarily a disambiguation query with minor potential for plot-based similarity matching.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""The user references 'Her' (2013) for thematic similarity—seeking a movie about human-AI relationships, loneliness, and intimate connection with technology—while only excluding the specific film by production fact (actor), making plot_analysis the primary search dimension.""},""viewer_experience_data"":{""relevance"":""small"",""justification"":""The user references 'Her' which has a distinctive melancholic, intimate, slightly futuristic romantic vibe, but their query focuses on disambiguation by actor rather than describing the experiential qualities they want; however, the comparison to 'Her' carries some implicit experiential weight that might transfer.""},""watch_context_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching by plot/title disambiguation (excluding a specific film) with no mention of watch scenarios, motivations, features, or audience fit.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The user is searching for a movie titled 'Her' while excluding the 2013 Spike Jonze film; this is a title-based disambiguation query with no narrative technique elements.""},""production_data"":{""relevance"":""large"",""justification"":""User explicitly references a specific actor (Joaquin Phoenix) to exclude, directly engaging with cast/production information to identify the correct film.""},""reception_data"":{""relevance"":""small"",""justification"":""The query uses a comparative framing ('but not the one with') that implies awareness of how movies are distinguished and discussed, but the primary intent is identification/exclusion based on casting, not evaluation of reception.""}}"
"Korean audio with English subtitles, critics called it a slow-burn masterpiece","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""This query searches by language/audio format (production), critical reception (reviews), and pacing descriptor 'slow-burn' (viewer experience/vibe) — none of which relate to what literally happens in the movie's plot.""},""plot_analysis_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by language/subtitle format and critical reception descriptors ('slow-burn masterpiece'), with no mention of genre, theme, story type, or what the movie is about thematically.""},""viewer_experience_data"":{""relevance"":""medium"",""justification"":""The query contains 'slow-burn' which is an explicit experiential pacing descriptor, though 'Korean audio with English subtitles' and 'critics called it' are production/attribution details that don't relate to viewer experience.""},""watch_context_data"":{""relevance"":""small"",""justification"":""The query primarily focuses on technical attributes (language, subtitles) and critical reception/production assessment ('slow-burn masterpiece'), with 'slow-burn' being the only minor element that could loosely relate to watch context as a pacing preference, but the core intent is not about why/when to watch or feature draws.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by language/audio format (production attribute) and critical reception/experience ('slow-burn masterpiece' describes pacing feel and acclaim, not a specific structural technique like 'ticking clock' or 'escalating stakes').""},""production_data"":{""relevance"":""large"",""justification"":""User explicitly specifies 'Korean audio' and 'English subtitles' which are direct production metadata about language and audio format, making this a high relevance query for the production vector.""},""reception_data"":{""relevance"":""large"",""justification"":""The user explicitly references critics' evaluative language ('slow-burn masterpiece'), directly invoking how the movie was received and discussed by reviewers.""}}"
"set in ancient Rome, political betrayal, ends on a bleak note","{""plot_events_data"":{""relevance"":""large"",""justification"":""User explicitly searches by story setting (ancient Rome), specific plot event (political betrayal), and narrative outcome (bleak ending) — all core plot content.""},""plot_analysis_data"":{""relevance"":""large"",""justification"":""The query explicitly searches for thematic elements (political betrayal, bleak ending) and setting-based story type, all of which are core contents of the plot_analysis vector.""},""viewer_experience_data"":{""relevance"":""small"",""justification"":""The query contains one experiential element ('bleak note' describing ending aftertaste), but primarily describes plot setting, theme, and narrative outcome without emotional or tonal language.""},""watch_context_data"":{""relevance"":""not_relevant"",""justification"":""The query specifies only plot elements (setting, narrative event, ending tone) with no mention of why/when to watch, motivations, scenarios, or feature draws.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by setting (ancient Rome), theme (political betrayal), and tone/experience (bleak ending), with no mention of narrative structure, POV, time structure, or storytelling technique.""},""production_data"":{""relevance"":""not_relevant"",""justification"":""The query focuses entirely on story elements: setting ('set in ancient Rome'), plot theme ('political betrayal'), and tone/ending ('ends on a bleak note') — none of these relate to how, when, where, or by whom the movie was made.""},""reception_data"":{""relevance"":""small"",""justification"":""The phrase 'ends on a bleak note' contains mild evaluative language about how the conclusion is received/perceived, though the query is primarily plot and setting focused.""}}"
"adapted from a video game, big studio blockbuster, mixed reviews, amazing fight choreography","{""plot_events_data"":{""relevance"":""small"",""justification"":""The query focuses on production origin (video game adaptation), production scale (big studio), reception (mixed reviews), and technical execution (fight choreography) — all production/technical factors; 'fight choreography' could marginally connect to plot events depicting fights, but this is primarily about how action is filmed rather than what story events occur.""},""plot_analysis_data"":{""relevance"":""not_relevant"",""justification"":""The query focuses entirely on production facts (adaptation source, studio size, review reception) and technical execution (fight choreography), with no mention of genre, theme, story type, or what the movie means.""},""viewer_experience_data"":{""relevance"":""not_relevant"",""justification"":""The query describes production facts (video game adaptation, big studio, reviews) and technical quality (fight choreography) without any experiential language about how the movie feels to watch.""},""watch_context_data"":{""relevance"":""medium"",""justification"":""The query includes 'amazing fight choreography' which is a clear feature-as-reason-to-choose draw, though this is one element among production facts and review quality that don't align with watch context.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by source material (video game adaptation), production scale (blockbuster), reception (mixed reviews), and action quality (fight choreography) — none of which relate to narrative techniques like POV, time structure, or storytelling craft.""},""production_data"":{""relevance"":""medium"",""justification"":""Two elements are production-related ('adapted from a video game' = source material, 'big studio blockbuster' = budget scale/studio), but 'mixed reviews' is reception and 'amazing fight choreography' is technique/viewer experience, making production a meaningful but not dominant part of the search.""},""reception_data"":{""relevance"":""large"",""justification"":""The query explicitly includes reception-focused terms: 'mixed reviews' (direct acclaim assessment), 'amazing fight choreography' (praised quality in reviews), and 'big studio blockbuster' (commercial reception framing), making reception a primary search dimension.""}}"
"A24 vibe, but I want it less depressing, more hopeful","{""plot_events_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by studio brand ('A24 vibe') and emotional tone ('less depressing, more hopeful'), which are production/viewer experience factors with no reference to plot events, settings, or character situations.""},""plot_analysis_data"":{""relevance"":""medium"",""justification"":""The user references A24 (a production company known for specific thematic territory: indie, often dark/psychological, auteur-driven films), but the core of their search is about emotional tone and thematic outcome—they want the same TYPE of thoughtful, artistic storytelling but with hopeful rather than bleak themes, which directly engages with plot_analysis content around story shape and emotional/thematic territory.""},""viewer_experience_data"":{""relevance"":""large"",""justification"":""User explicitly searches by aesthetic vibe ('A24 vibe') and modifies the emotional experience with experiential negation ('less depressing') and positive emotional descriptor ('more hopeful').""},""watch_context_data"":{""relevance"":""large"",""justification"":""The user is explicitly searching by motivation ('less depressing, more hopeful') and implicitly by scenario/viewing experience, directly matching the vector's focus on emotional needs and reasons-to-choose.""},""narrative_techniques_data"":{""relevance"":""not_relevant"",""justification"":""The query searches by production company (A24) and emotional experience (less depressing, more hopeful), with no reference to narrative structure, POV, time structure, or storytelling techniques.""},""production_data"":{""relevance"":""small"",""justification"":""The user mentions 'A24' which is a production studio, but the core intent is about aesthetic/vibe ('A24 vibe', 'less depressing, more hopeful') which relates to viewer_experience, not production facts.""},""reception_data"":{""relevance"":""medium"",""justification"":""The user uses evaluative framing ('less depressing, more hopeful') that directly mirrors how people discuss and review A24 films, making reception relevant to their search intent.""}}"
