query,results
"YA fantasy with a chosen one prophecy, not too dark, PG-13","{""plot_events_data"":{""relevant_subquery_text"":""chosen one prophecy, young protagonist destined to save, prophecy foretells hero, ordinary youth discovers destiny, ancient prophecy fulfilled, reluctant hero chosen by fate""},""plot_analysis_data"":{""relevant_subquery_text"":""chosen one destiny, prophecy fulfillment, young hero's journey, coming of age fantasy, fate versus choice, reluctant hero, destined hero, self-discovery through adventure, light fantasy, hopeful fantasy, adolescent empowerment, finding one's place in the world""},""viewer_experience_data"":{""relevant_subquery_text"":""YA fantasy feel, coming of age, wonder, adventure, magical world, escapist, not too dark, not grim, not depressing, hopeful, optimistic, not cynical, earnest, heartfelt, wonder and discovery, not disturbing, no nightmare fuel, accessible, digestible, straightforward, not confusing, not overly complex, satisfying, feel good, uplifting, not bleak, not heavy, lighthearted adventure, not gory, not intense violence, teen friendly, inspiring, heroic journey""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":""chosen one prophecy, hero's journey, destiny narrative, prophecy fulfillment structure, reluctant hero arc, young protagonist arc, coming-of-age arc""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""young adult fantasy, chosen one, prophecy, coming-of-age, not too dark, lighter tone, PG-13, teen-friendly, accessible, fun, adventurous, not grimdark, hopeful, escapist, crowd-pleasing, mainstream appeal, blockbuster feel, entertaining, not depressing""}}"
"romcom about two rival bakers, light and flirty, 00s vibe","{""plot_events_data"":{""relevant_subquery_text"":""two rival bakers, rival bakers, bakery rivals, competing bakers, romantic rivalry, enemies to lovers, professional rivals fall in love""},""plot_analysis_data"":{""relevant_subquery_text"":""romantic comedy, rivals to lovers, professional rivalry, competitive romance, baking competition, small business romance, enemies to lovers, workplace romance, lighthearted romance, flirtatious banter, career versus love, passion for craft""},""viewer_experience_data"":{""relevant_subquery_text"":""light, flirty, playful, romantic, charming, sweet, feel good, heartwarming, cozy, low stakes, easy to watch, not heavy, not depressing, not dark, fun, breezy, 2000s feel, nostalgic, early 2000s vibe, Y2K aesthetic, slightly dated in a cozy way, romcom energy, will they won't they tension, cute chemistry, uplifting, satisfying ending, predictable in a good way, formulaic but comforting, not cynical, earnest, cheesy in a good way, warm, delightful""},""watch_context_data"":{""relevant_subquery_text"":""romantic comedy, romcom, light and flirty, feel-good romance, easy watch, turn my brain off, cozy romantic escape, 2000s nostalgia, nostalgic vibe, date night movie, mood booster, charming chemistry, comfort watch, romantic pick-me-up""},""narrative_techniques_data"":{""relevant_subquery_text"":""meet-cute, romantic rivalry, rivals-to-lovers arc, enemies-to-lovers arc, workplace romance, professional rivalry, romantic comedy structure, will-they-won't-they tension""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""light, flirty, charming, sweet, feel-good, breezy, easy watch, 2000s vibes, early 2000s energy, nostalgic, throwback romcom, old-school romantic comedy, cute, playful, fun chemistry, delightful, warm, comforting, not too serious, low stakes, escapist, sugary sweet, Y2K aesthetic, early aughts""}}"
something on Netflix under 90 minutes,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":null},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""Netflix, under 90 minutes, short runtime""},""reception_data"":{""relevant_subquery_text"":null}}"
"set in Boston during a blizzard, but filmed in Toronto","{""plot_events_data"":{""relevant_subquery_text"":""set in Boston during blizzard, snowstorm, winter storm, characters trapped by snow, city paralyzed by weather""},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""cozy, claustrophobic, intimate, trapped feeling, snowed in atmosphere, isolated, hunkered down, wintery mood, cold outside warm inside, tense survival, intimate setting, not epic scope, contained, pressure cooker, atmospheric""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""filmed in Toronto, filming happened in Toronto, Canada, produced in Canada""},""reception_data"":{""relevant_subquery_text"":null}}"
"Oscar-winning cinematography, but the story is messy","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""messy narrative, flawed storytelling, beautiful but hollow, style over substance, aesthetic priority, visual splendor, narrative incoherence, ambitious failure, beautiful mess""},""viewer_experience_data"":{""relevant_subquery_text"":""visually stunning, breathtaking visuals, beautiful to look at, aesthetic pleasure, gorgeous imagery, striking visuals, not narratively tight, messy story, confusing plot, hard to follow story, incoherent narrative, frustrating story, beautiful but empty, style over substance, stunning to watch but muddled, visually rewarding, narratively unsatisfying, impressive craft, hollow story""},""watch_context_data"":{""relevant_subquery_text"":""Oscar-winning cinematography, visually stunning, beautiful visuals, impressive craft, film buff pick, conversation starter, divisive, messy story, flawed but beautiful, style over substance, visually rewarding, impressive technique, critically acclaimed visuals, mixed reception, love it or hate it, striking imagery""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""Oscar-winning, Academy Award, award-winning cinematography, stunning visuals, beautiful to look at, messy plot, incoherent story, all over the place, doesn't come together, unfocused narrative, weak storytelling, style over substance, gorgeous but hollow, visually impressive, narratively frustrating""}}"
"critics hated it but I love it anyway, fun guilty pleasure","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""guilty pleasure, fun, enjoyable despite flaws, not pretentious, not highbrow, unapologetically entertaining, cheesy in a good way, campy, so bad it's good, earnest and heartfelt, not cynical, not self-serious, low stakes, comforting, rewatchable, not demanding, easy to enjoy, charmingly flawed, not critically acclaimed feel, personal favorite, unashamed enjoyment""},""watch_context_data"":{""relevant_subquery_text"":""critically panned, divisive, bad reviews, guilty pleasure, fun watch, enjoyable despite flaws, unapologetic enjoyment, not for critics, personal favorite, underrated, so bad it's good, campy fun, ironic enjoyment, defends the indefensible""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""panned by critics, negative reviews, critically maligned, divisive, polarizing, cult following, underrated, underappreciated, fun, entertaining, enjoyable, guilty pleasure, so bad it's good, cheesy, campy, unpretentious, doesn't take itself seriously, delivers exactly what it promises, great for what it is, not for everyone, love it or hate it, grew on me, better than the reviews suggest, defends well, rewatchable, comfort movie""}}"
"real-time thriller in one apartment, ticking clock deadline, no flashbacks","{""plot_events_data"":{""relevant_subquery_text"":""real-time, single location, apartment setting, ticking clock, deadline, time pressure, continuous timeline""},""plot_analysis_data"":{""relevant_subquery_text"":""ticking clock tension, deadline pressure, time as enemy, claustrophobic suspense, contained thriller, pressure cooker situation, race against time, mounting dread, temporal urgency, single location intensity""},""viewer_experience_data"":{""relevant_subquery_text"":""real-time, ticking clock, relentless pace, high tension, edge of your seat, nail biter, claustrophobic, intense, urgent, time pressure, no flashbacks, not fragmented, continuous, unbroken tension, sustained suspense, not episodic, single location intensity, pressure cooker, trapped feeling, relentless, breathless, high adrenaline, not slow burn, straightforward timeline, not confusing structure, propulsive, can't look away""},""watch_context_data"":{""relevant_subquery_text"":""real-time thriller, ticking clock, time pressure, intense deadline, single location, claustrophobic tension, no flashbacks, straightforward timeline, continuous tension, immersive experience, edge of seat, high stakes, contained thriller""},""narrative_techniques_data"":{""relevant_subquery_text"":""real-time structure, single location, ticking clock deadline, no flashbacks, linear chronology, contained thriller, real-time thriller""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
"found footage horror, no jump scares, creepy dread","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""atmospheric horror, psychological dread, slow-burn horror, creeping dread, unsettling atmosphere, sustained tension, dread without shock, ambient horror, mounting unease, dread as mood""},""viewer_experience_data"":{""relevant_subquery_text"":""found footage, found footage horror, creepy, dread, creeping dread, slow dread, atmospheric horror, unsettling, lingering unease, psychological horror, no jump scares, not cheap scares, not startling, sustained tension, building dread, realistic horror, grounded horror, voyeuristic, immersive dread, not high adrenaline, patient horror, slow burn fear""},""watch_context_data"":{""relevant_subquery_text"":""found footage horror, no jump scares, creepy dread, atmospheric horror, slow burn horror, unsettling atmosphere, dread-filled, not reliant on jump scares, immersive horror, realistic horror, tension building, psychological horror, horror for patient viewers""},""narrative_techniques_data"":{""relevant_subquery_text"":""found footage, mockumentary format, diegetic camera, first-person pov, subjective camera, no jump scares, slow-burn dread, atmospheric horror, creeping dread, sustained tension, dread-based pacing, not shock horror""},""production_data"":{""relevant_subquery_text"":""found footage, found footage horror""},""reception_data"":{""relevant_subquery_text"":""creeping dread, atmospheric, unsettling, slow-building tension, not reliant on jump scares, genuinely scary, unnerving, gets under your skin, lingering unease, disturbing, haunting, realistic, believable, immersive, found footage praised for authenticity, raw, visceral, grounded horror, psychological, dread-filled, oppressive atmosphere, tension that builds, not cheap thrills""}}"
"directed by Quinten Tarantino, snappy dialogue, violent but funny","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""dark comedy, violence and humor, moral ambiguity, crime and consequence, stylized brutality, revenge, antihero, pop culture and violence, criminal underworld, cathartic violence""},""viewer_experience_data"":{""relevant_subquery_text"":""snappy dialogue, rapid fire banter, witty, sharp, clever, stylized violence, darkly funny, funny and violent, gallows humor, irreverent, shocking but amusing, not serious, self-aware, pulpy, energetic, intense, adrenaline, quotable, not realistic violence, heightened, theatrical, visceral but entertaining""},""watch_context_data"":{""relevant_subquery_text"":""snappy dialogue, clever dialogue, quotable lines, violent but funny, dark humor, stylized violence, Tarantino style, film buff pick, must-see director, iconic filmmaker""},""narrative_techniques_data"":{""relevant_subquery_text"":""snappy dialogue, rapid-fire dialogue, stylized dialogue, violence comedy tonal clash, dark humor, ironic violence, genre pastiche, pop culture references, nonlinear timeline, chapter structure, ensemble cast, converging narratives""},""production_data"":{""relevant_subquery_text"":""directed by Quentin Tarantino""},""reception_data"":{""relevant_subquery_text"":""Quentin Tarantino, snappy dialogue, razor-sharp writing, quotable, violent but funny, darkly comic, brutal humor, stylized violence, signature style, energetic, irreverent, genre-blending, pop culture references, tense, unpredictable, kinetic, visceral, entertaining, cult favorite, acclaimed""}}"
"movies with Jack Sparrow energy but not Pirates, witty swashbuckling","{""plot_events_data"":{""relevant_subquery_text"":""witty swashbuckler, charming rogue captain, eccentric pirate, cunning outlaw, flamboyant adventurer, drunk but capable hero, escapes through cleverness, sword fights with banter, treasure hunt, naval adventure, shipboard action, outwits authorities, morally ambiguous hero""},""plot_analysis_data"":{""relevant_subquery_text"":""roguish charisma, charming scoundrel, witty outlaw, swashbuckling adventure, irreverent hero, self-serving becomes selfless, trickster protagonist, flamboyant antihero, cunning over strength, freedom-loving rogue, morally flexible hero, banter and wit, unexpected nobility beneath selfishness""},""viewer_experience_data"":{""relevant_subquery_text"":""swashbuckling, witty, charming rogue, charismatic scoundrel, dashing, adventurous, flamboyant, clever banter, irreverent humor, self-aware, campy fun, not serious, playful, roguish charm, quick-witted, theatrical, larger than life personality, mischievous, not grimdark, not gritty realism, fun adventure, lighthearted action, not depressing, not cynical, escapist, romp""},""watch_context_data"":{""relevant_subquery_text"":""witty swashbuckling, charming rogue lead, charismatic antihero, clever banter, adventure with humor, swashbuckling adventure, dashing lead, roguish charm, fun adventure, lighthearted escapism, turn my brain off, feel-good adventure, charismatic performance""},""narrative_techniques_data"":{""relevant_subquery_text"":""lovable rogue, charismatic antihero, trickster protagonist, witty dialogue, swashbuckling adventure, roguish charm, unreliable hero, self-aware humor, genre pastiche, romanticized outlaw""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""witty, charming rogue, charismatic scoundrel, swashbuckling, dashing, roguish hero, clever banter, flamboyant, larger than life, scene-stealing, irreverent, playfully arrogant, quick-witted, adventurous spirit, devil-may-care attitude, charismatic performance, steals every scene, unforgettable character, fun, entertaining, rousing, spirited, rollicking""}}"
