query,results
science fiction war epic intergalactic warfare morally gray lead ticking clock deadline red herrings,"{""plot_events_data"":{""relevant_subquery_text"":""intergalactic warfare, space war, galactic conflict, morally gray protagonist, ambiguous morality lead, ticking clock, race against time, deadline pressure""},""plot_analysis_data"":{""relevant_subquery_text"":""science fiction war epic, intergalactic warfare, morally gray protagonist, ethical ambiguity, moral compromise, ticking clock, race against time, high stakes pressure, deception, hidden truth, misdirection, things aren't what they seem, military science fiction, space opera, war and humanity, ends justify the means""},""viewer_experience_data"":{""relevant_subquery_text"":""high stakes, relentless tension, edge of your seat, ticking clock pressure, time pressure, moral complexity, morally ambiguous, not black and white, paranoia, distrust, unreliable, mind games, cerebral, thought provoking, puzzle-like, keeps you guessing, misdirection, layered, complex, epic scope, grand scale, immersive world, overwhelming odds, desperate, adrenaline, intense, serious tone, not lighthearted, weighty, consequential""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":""ticking clock deadline, red herrings, false ally misdirection, morally gray protagonist, ambiguous morality lead, antihero lead, war epic structure, large-scale conflict stakes""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
"romcom about two rival bakers, light and flirty, 00s vibe","{""plot_events_data"":{""relevant_subquery_text"":""rival bakers, competing bakeries, baker rivals, enemies in baking business, romance between rivals, professional rivals fall in love, culinary competition romance""},""plot_analysis_data"":{""relevant_subquery_text"":""romantic comedy, rivals to lovers, professional competition, workplace romance, enemies become lovers, baking competition, small business rivalry, lighthearted romance, flirtatious tension, career rivals fall in love, competitive courtship""},""viewer_experience_data"":{""relevant_subquery_text"":""light, flirty, playful, romantic, charming, sweet, cute, feel good, heartwarming, low stakes, easy to watch, breezy, glossy romcom feel, 2000s nostalgia, Y2K aesthetic, nostalgic, not heavy, not intense, not dark, fun, witty banter, competitive but cute, enemies to lovers vibe, chemistry, sparks, flirtatious, delightful, comforting, predictable in a good way, satisfying ending, not cynical, earnest, upbeat, not depressing""},""watch_context_data"":{""relevant_subquery_text"":""feel-good romcom, light and flirty, charming romance, cozy romantic escape, romantic pick-me-up, 00s vibe, nostalgic feel, early 2000s energy, cute premise, fun romantic comedy, date night movie, mood booster, turn my brain off, easy watch""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""light, breezy, flirty, playful, charming, low-stakes, feel-good, easy watch, 2000s romcom vibes, nostalgic, throwback, sweet, delightful, chemistry-driven, fun, not heavy, effervescent, cute""}}"
something on Netflix under 90 minutes,"{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":null},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""netflix, netflix studios, netflix original, under 90 minutes, short runtime, 90 minutes""},""reception_data"":{""relevant_subquery_text"":null}}"
"set in Boston during a blizzard, but filmed in Toronto","{""plot_events_data"":{""relevant_subquery_text"":""Boston during blizzard, snowstorm, winter storm, characters trapped by snow, city paralyzed by weather""},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""claustrophobic, isolated, trapped, survival, harsh conditions, winter dread, cold atmosphere, tense, desperate, cabin fever, bleak, atmospheric, against the elements, hunkered down, snowed in, oppressive weather, winter survival, not warm, not comforting""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""filmed in Toronto, filming happened in Toronto, Canada""},""reception_data"":{""relevant_subquery_text"":null}}"
"Oscar-winning cinematography, but the story is messy","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""visually stunning, beautiful cinematography, gorgeous to look at, aesthetic pleasure, immersive visuals, striking imagery, visually rewarding, confusing story, messy narrative, hard to follow, frustrating plot, disjointed, unclear, not straightforward, not clean narrative, muddled, chaotic storytelling, beautiful but frustrating, style over substance feel""},""watch_context_data"":{""relevant_subquery_text"":""Oscar winning cinematography, beautiful cinematography, stunning visuals, visual masterpiece, messy story, messy plot, incoherent story, narrative mess, beautiful but flawed, style over substance, impressive visuals, weak story""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""Oscar-winning, Academy Award winning, award-winning cinematography, stunning visuals, beautiful to look at, messy plot, messy story, unfocused narrative, incoherent, all over the place, style over substance, gorgeous but hollow, impressive craft, weak writing, beautiful mess, divisive, polarizing, mixed reviews""}}"
"real-time thriller in one apartment, ticking clock deadline, no flashbacks","{""plot_events_data"":{""relevant_subquery_text"":""real-time, takes place in one apartment, single location, confined space, ticking clock, deadline pressure, race against time, time limit""},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""high adrenaline, edge of your seat, relentless tension, nail biter, claustrophobic, intense, suffocating pressure, ticking clock urgency, time pressure, breathless pace, no relief, propulsive, straightforward, not fragmented, not meandering, no backstory breaks, continuous momentum, real-time feel, in the moment, immersive urgency, white knuckle, stressful, anxious, sweaty palms, no escape""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":""real-time structure, single-location thriller, ticking clock deadline, no flashbacks, linear chronology, contained setting, time-locked narrative, location constraint""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
"found footage horror, no jump scares, creepy dread","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":""atmospheric horror, creeping dread, sustained unease, psychological horror, dread over shock, implied horror, slow-building terror, unsettling atmosphere, lurking menace, horror of implication""},""viewer_experience_data"":{""relevant_subquery_text"":""found footage feel, raw footage horror, voyeuristic horror, immediate and real, not polished, creepy dread, creeping dread, slow dread, atmospheric dread, no jump scares, not startling, not cheap scares, psychological dread, unsettling, lingering unease, building tension, slow burn fear, disturbing, realistic horror, immersive fear, not high production, gritty, paranoid feeling, watching something you shouldn't""},""watch_context_data"":{""relevant_subquery_text"":""found footage horror, no jump scares, creepy dread, atmospheric horror, slow burn horror, unsettling atmosphere, dread inducing, horror without jumpscares, immersive horror, realistic horror, low budget horror, intimate horror""},""narrative_techniques_data"":{""relevant_subquery_text"":""found footage, diegetic camera, in-universe recording, mockumentary structure, no jump scares, not jump scare driven, sustained dread, slow-burn horror""},""production_data"":{""relevant_subquery_text"":""found footage""},""reception_data"":{""relevant_subquery_text"":""atmospheric horror, slow-building dread, creeping tension, unsettling atmosphere, doesn't rely on jump scares, no cheap scares, restrained, genuinely creepy, gets under your skin, lingering unease, oppressive mood, dread-filled, minimalist scares, psychological horror, immersive, realistic, believable, grounded, documentary feel""}}"
"critics hated it but I love it anyway, fun guilty pleasure","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""guilty pleasure, so bad it's good, fun, entertaining, cheesy, campy, unpretentious, not serious, low stakes enjoyment, embraces flaws, not critically acclaimed, not pretentious, not highbrow, enjoyable despite flaws, cornball, earnest but cheesy, popcorn movie feel, not demanding, easy fun, satisfying in a dumb way, charmingly flawed, not cynical, sincere fun""},""watch_context_data"":{""relevant_subquery_text"":""guilty pleasure, fun watch, enjoyable despite reviews, critics hated it, against critical consensus, unapologetic enjoyment, love it anyway, so bad it's good, critic proof, personal favorite, not for critics, defiant enjoyment, fun over quality""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""critically panned, negative reviews, critics hated it, guilty pleasure, so bad it's good, fun anyway, enjoyable despite flaws, defends it, loves it ironically, unironically enjoys, cult following, underrated, overlooked gem, better than the reviews say, doesn't deserve the hate, entertaining, watchable, charmingly bad, campy, cheesy fun""}}"
"directed by Quinten Tarantino, snappy dialogue, violent but funny","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""snappy dialogue, rapid fire banter, witty, clever, sharp, stylized violence, violent but funny, darkly funny, shocking but entertaining, irreverent, audacious, self-aware, gleeful mayhem, pulp energy, not realistic violence, cartoonish brutality, adrenaline, propulsive, rhythmic, quotable, tense but playful, shocking, visceral thrill, subversive, not earnest, not restrained""},""watch_context_data"":{""relevant_subquery_text"":""directed by Quentin Tarantino, Tarantino style, snappy dialogue, witty dialogue, sharp writing, violent but funny, dark comedy, black comedy, stylized violence, film buff pick, must-see director, iconic filmmaker, quotable lines, genre blend""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":""directed by Quentin Tarantino, Quentin Tarantino""},""reception_data"":{""relevant_subquery_text"":""Tarantino, Quentin Tarantino, snappy dialogue, sharp writing, witty banter, quotable, violent but funny, darkly comic, gleefully violent, stylized violence, black comedy, tonal whiplash, irreverent, pop culture references, kinetic, energetic, signature style, unmistakably his, love it or hate it, divisive, cult favorite, acclaimed, stylized""}}"
"movies with Jack Sparrow energy but not Pirates, witty swashbuckling","{""plot_events_data"":{""relevant_subquery_text"":""witty swashbuckler, roguish adventurer, cunning pirate captain, charming outlaw, seafaring rogue, clever scoundrel, morally ambiguous hero, sword fighting, naval adventure, escapes through trickery, drunken master, eccentric captain""},""plot_analysis_data"":{""relevant_subquery_text"":""lovable rogue, charming scoundrel, moral ambiguity, freedom versus duty, unpredictable hero, witty adventurer, roguish charisma, reluctant hero, self-interest becomes sacrifice, clever over strong, swashbuckling adventure, anarchy with heart, trickster protagonist, debauched nobility, living by own code""},""viewer_experience_data"":{""relevant_subquery_text"":""roguish charm, drunken charisma, unpredictable, swagger, theatrical, flamboyant, witty, irreverent, swashbuckling, adventurous, playful danger, clever banter, rakish, mischievous, self-aware, campy in a good way, larger than life, charismatic scoundrel, not taking itself seriously, fun, rambunctious""},""watch_context_data"":{""relevant_subquery_text"":""witty swashbuckling, charismatic rogue, charming scoundrel, clever banter, adventurous escape, fun adventure, dashing hero, roguish charm, playful adventure, turn my brain off, mood booster, feel-good adventure""},""narrative_techniques_data"":{""relevant_subquery_text"":""lovable rogue, charismatic antihero, trickster protagonist, unreliable trickster, witty wordplay, swashbuckling action, roguish charm, antihero with hidden competence, showmanship characterization, flamboyant performance style""},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""charismatic rogue, roguish charm, swashbuckling, witty, clever banter, dashing, flamboyant, scene-stealing, larger than life, playful, irreverent, devil-may-care, magnetic performance, entertaining, fun, adventurous, rousing, spirited, rakish, scoundrel with a heart of gold, memorable character, iconic performance""}}"
"background while coding, dialogue not important, chill visuals, low volume","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""chill, relaxing, ambient, soothing, low cognitive demand, easy to ignore, not demanding attention, calming, visually pleasant, meditative, not intense, not stressful, quiet, low volume feel, peaceful, gentle, mellow, background friendly, not dialogue heavy, not plot dependent, atmospheric, not loud, not overstimulating, not stressful, not tense""},""watch_context_data"":{""relevant_subquery_text"":""background while coding, background noise, ambient movie, low attention required, doesn't require focus, easy to ignore, dialogue not important, chill visuals, low volume, not too loud, visually soothing, calm atmosphere, study background, work background, coding background""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
"ultra-gory body horror, disgusting, make me squirm","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""ultra gory, extreme gore, body horror, visceral horror, disgusting, repulsive, gross, make me squirm, squirm inducing, uncomfortable to watch, viscerally disturbing, physically revolting, queasy, nauseating, graphic, explicit violence, biological horror, flesh horror, transformation horror, not for the faint of heart, intense, overwhelming, visceral reaction, gut churning, skin crawling""},""watch_context_data"":{""relevant_subquery_text"":""ultra-gory, extreme gore, body horror, disgusting, make me squirm, test my nerves, morbid curiosity, extreme horror, visceral horror, gross-out horror, boundary-pushing, not for the faint of heart, challenging watch""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""ultra-gory, extreme gore, graphic, visceral, disgusting, revolting, nauseating, stomach-turning, makes you squirm, uncomfortable to watch, hard to watch, transgressive, boundary-pushing, not for the faint of heart, shocking, grotesque, body horror praised, Cronenberg-esque, physically repulsive, intense, unflinching, brutal, disturbing""}}"
Her but not the one with Joaquin Phoenix,"{""plot_events_data"":{""relevant_subquery_text"":""man falls in love with artificial intelligence, human falls in love with AI, romantic relationship with computer, man dates operating system, love between human and machine, artificial intelligence romance, sentient software companion""},""plot_analysis_data"":{""relevant_subquery_text"":""human-AI romance, artificial consciousness, loneliness and technology, love beyond physical form, digital intimacy, what makes us human, consciousness and emotion, unconventional love, synthetic being learns to love, emotional connection with machine, transcendence through technology, bittersweet futurism""},""viewer_experience_data"":{""relevant_subquery_text"":""melancholic romance, bittersweet love story, wistful, lonely but warm, gentle sadness, intimate, small scale, earnest, heartfelt, soft sci-fi, contemplative, quiet, not loud, not action heavy, emotional connection, longing, tender, vulnerable, not Her 2013, not Spike Jonze, similar vibe to Her, technology and loneliness, futuristic but cozy, not dystopian action, human connection, sweetly sad, not cynical, not cold""},""watch_context_data"":{""relevant_subquery_text"":null},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":null}}"
"family movie night with kids, not babyish, jokes for adults too","{""plot_events_data"":{""relevant_subquery_text"":null},""plot_analysis_data"":{""relevant_subquery_text"":null},""viewer_experience_data"":{""relevant_subquery_text"":""not babyish, not childish, not dumbed down, clever, witty, smart humor, layered comedy, jokes for adults, sophisticated but accessible, family friendly but not patronizing, clever writing, multigenerational appeal, sharp, not simplistic, not crude, warm, charming, feel good, heartwarming""},""watch_context_data"":{""relevant_subquery_text"":""family movie night, watch with kids, family friendly, not babyish, not childish, jokes for adults, adult humor, cross-generational, parents enjoy too, clever family movie, family movie with layers, rewatchable for adults""},""narrative_techniques_data"":{""relevant_subquery_text"":null},""production_data"":{""relevant_subquery_text"":null},""reception_data"":{""relevant_subquery_text"":""family friendly, all ages, something for everyone, parents won't suffer, jokes for adults, grown-up humor, not just for kids, not babyish, not childish, sophisticated, clever, rewatchable, parents enjoy it too, multigenerational appeal, Pixar-esque, smart family movie""}}"
